period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
in-sample,g3_stl_fsi,L2,3,576,32,35,0.06076388888888889,0.5,0.10835913312693499,2.0,0.04691298697332058
in-sample,g3_stl_fsi,L2,5,576,32,46,0.0798611111111111,0.53125,0.1388494318181818,3.0,0.07695915400512754
in-sample,g3_stl_fsi,L3,1,576,5,4,0.006944444444444444,0.8,0.013769363166953529,2.0,0.0024826216484608032
in-sample,g3_stl_fsi,L3,3,576,5,10,0.017361111111111112,0.8,0.033984706881903144,3.0,0.007429390016049919
in-sample,g3_stl_fsi,L3,5,576,5,13,0.022569444444444444,1.0,0.044142614601018676,3.0,0.012351626964123286
in-sample,g3_nfci,L1,1,36,136,9,0.25,0.0661764705882353,0.10465116279069768,1.0,0.06752730883813307
in-sample,g3_nfci,L1,3,36,136,20,0.5555555555555556,0.08088235294117647,0.141206675224647,2.0,0.18921003450135798
in-sample,g3_nfci,L1,5,36,136,27,0.75,0.08823529411764706,0.15789473684210525,3.0,0.29501381178875163
in-sample,g3_nfci,L2,1,36,32,5,0.1388888888888889,0.15625,0.14705882352941177,1.0,0.01588877855014892
in-sample,g3_nfci,L2,3,36,32,10,0.2777777777777778,0.15625,0.19999999999999998,2.0,0.04691298697332058
in-sample,g3_nfci,L2,5,36,32,12,0.3333333333333333,0.15625,0.2127659574468085,2.0,0.07695915400512754
in-sample,g3_nfci,L3,1,36,5,2,0.05555555555555555,0.4,0.09756097560975609,2.0,0.0024826216484608032
in-sample,g3_nfci,L3,3,36,5,3,0.08333333333333333,0.4,0.13793103448275862,2.0,0.007429390016049919
in-sample,g3_nfci,L3,5,36,5,3,0.08333333333333333,0.4,0.13793103448275862,2.0,0.012351626964123286
in-sample,g4_yc_10y2y,L1,1,130,136,14,0.1076923076923077,0.10294117647058823,0.10526315789473685,1.0,0.06752730883813307
in-sample,g4_yc_10y2y,L1,3,130,136,39,0.3,0.10294117647058823,0.1532846715328467,2.0,0.18921003450135798
in-sample,g4_yc_10y2y,L1,5,130,136,62,0.47692307692307695,0.11029411764705882,0.17915623193989597,4.0,0.29501381178875163
in-sample,g4_yc_10y2y,L2,1,130,32,2,0.015384615384615385,0.0625,0.02469135802469136,1.0,0.01588877855014892
in-sample,g4_yc_10y2y,L2,3,130,32,6,0.046153846153846156,0.0625,0.05309734513274336,2.5,0.04691298697332058
