period,signal,level,lookahead,n_signals,n_events,tp,precision,recall,f1,lead_med,random_precision
oos,g10_volume_surge,L1,1,20,16,2,0.1,0.125,0.11111111111111112,2.0,0.031936127744510934
oos,g10_volume_surge,L1,3,20,16,2,0.1,0.125,0.11111111111111112,2.0,0.09278120664341005
oos,g10_volume_surge,L1,5,20,16,4,0.2,0.25,0.22222222222222224,4.5,0.1498020300026538
oos,g10_volume_surge,L2,1,20,0,0,0.0,0.0,0.0,,0.0
oos,g10_volume_surge,L2,3,20,0,0,0.0,0.0,0.0,,0.0
oos,g10_volume_surge,L2,5,20,0,0,0.0,0.0,0.0,,0.0
oos,g10_volume_surge,L3,1,20,0,0,0.0,0.0,0.0,,0.0
oos,g10_volume_surge,L3,3,20,0,0,0.0,0.0,0.0,,0.0
oos,g10_volume_surge,L3,5,20,0,0,0.0,0.0,0.0,,0.0
oos,g11_safe_haven,L1,1,53,16,5,0.09433962264150944,0.3125,0.14492753623188406,1.0,0.031936127744510934
oos,g11_safe_haven,L1,3,53,16,9,0.16981132075471697,0.5,0.2535211267605634,2.0,0.09278120664341005
oos,g11_safe_haven,L1,5,53,16,11,0.20754716981132076,0.625,0.311614730878187,3.0,0.1498020300026538
oos,g11_safe_haven,L2,1,53,0,0,0.0,0.0,0.0,,0.0
oos,g11_safe_haven,L2,3,53,0,0,0.0,0.0,0.0,,0.0
oos,g11_safe_haven,L2,5,53,0,0,0.0,0.0,0.0,,0.0
oos,g11_safe_haven,L3,1,53,0,0,0.0,0.0,0.0,,0.0
oos,g11_safe_haven,L3,3,53,0,0,0.0,0.0,0.0,,0.0
oos,g11_safe_haven,L3,5,53,0,0,0.0,0.0,0.0,,0.0
oos,g11_corr_velocity,L1,1,83,16,3,0.03614457831325301,0.1875,0.0606060606060606,1.0,0.031936127744510934
oos,g11_corr_velocity,L1,3,83,16,9,0.10843373493975904,0.25,0.15126050420168066,4.0,0.09278120664341005
oos,g11_corr_velocity,L1,5,83,16,14,0.1686746987951807,0.25,0.2014388489208633,5.0,0.1498020300026538
oos,g11_corr_velocity,L2,1,83,0,0,0.0,0.0,0.0,,0.0
oos,g11_corr_velocity,L2,3,83,0,0,0.0,0.0,0.0,,0.0
oos,g11_corr_velocity,L2,5,83,0,0,0.0,0.0,0.0,,0.0
oos,g11_corr_velocity,L3,1,83,0,0,0.0,0.0,0.0,,0.0
oos,g11_corr_velocity,L3,3,83,0,0,0.0,0.0,0.0,,0.0
oos,g11_corr_velocity,L3,5,83,0,0,0.0,0.0,0.0,,0.0
oos,g12_composite,L1,1,444,16,15,0.033783783783783786,0.9375,0.06521739130434784,1.0,0.031936127744510934
oos,g12_composite,L1,3,444,16,40,0.09009009009009009,0.9375,0.1643835616438356,2.5,0.09278120664341005
oos,g12_composite,L1,5,444,16,64,0.14414414414414414,0.9375,0.24986985944820406,5.0,0.1498020300026538
oos,g12_composite,L2,1,444,0,0,0.0,0.0,0.0,,0.0
oos,g12_composite,L2,3,444,0,0,0.0,0.0,0.0,,0.0
oos,g12_composite,L2,5,444,0,0,0.0,0.0,0.0,,0.0
oos,g12_composite,L3,1,444,0,0,0.0,0.0,0.0,,0.0
oos,g12_composite,L3,3,444,0,0,0.0,0.0,0.0,,0.0
