symbol,side,entry_time,entry,exit_time,exit,exit_reason,net_bps
MA,long,2022-01-28,349.48415431360775,2022-01-28,362.11774504009895,target,355.4925189184559
MA,short,2021-10-05,337.4305950428528,2021-10-08,349.8333548798602,stop,-373.5647679616101
MA,short,2022-01-06,358.8674202840775,2022-01-10,349.3891369391801,target,258.11657367488186
XOM,long,2021-09-21,45.92423095331476,2021-09-22,47.12337324218651,target,255.11319971601876
XOM,long,2021-12-03,53.00431566003979,2021-12-16,52.533504486083984,time,-94.82506416562408
XOM,short,2021-09-20,45.42588460714857,2021-09-22,47.148546919644204,stop,-385.2248246552687
CVX,short,2022-01-06,103.2279687516598,2022-01-11,106.02420679498029,stop,-276.87988624938663
COP,long,2021-12-21,58.88727631511242,2021-12-23,60.97128403315129,target,347.8977939626742
COP,short,2021-09-29,57.01805070251325,2021-10-04,59.73280105032771,stop,-482.12121325901313
UNH,long,2022-01-11,430.86110325849876,2022-01-24,417.36443168771206,stop,-319.24878177014904
UNH,short,2021-08-06,377.40376676774576,2021-08-12,371.3833834457592,target,153.52101839226017
UNH,short,2021-10-15,387.95744866817034,2021-10-21,401.2386832970041,stop,-348.3374051568606
LLY,long,2021-12-03,242.07089194576076,2021-12-06,233.25527508583968,stop,-370.17500629924325
LLY,long,2022-01-13,243.9334631285034,2022-01-14,234.08039958794575,stop,-409.92422647511415
JNJ,long,2022-01-25,142.82662556559413,2022-01-25,145.21161996720494,target,160.98527968200816
JNJ,short,2021-11-15,144.2044774728042,2021-11-17,141.96147486328616,target,149.5432014890834
PFE,long,2021-10-04,33.52609656456235,2021-10-13,32.36274130609474,stop,-352.9999128074153
PFE,long,2022-01-25,40.46155153061897,2022-01-26,41.901177485456664,target,349.80097657606393
PFE,short,2021-08-19,37.87598000785921,2021-08-23,39.29084224908573,stop,-379.55132221870815
PFE,short,2021-11-04,34.891789756918705,2021-11-05,37.8854432787879,stop,-863.9822195207365
PFE,short,2021-11-29,43.447330277087445,2021-11-29,42.29271596696824,target,259.7503470882094
PFE,short,2021-12-20,47.740856587157914,2021-12-21,46.02606839520724,target,353.18672485904744
MRK,long,2021-11-29,65.96916277804749,2021-12-03,63.210473917024416,stop,-424.1785465892074
MRK,short,2021-10-04,72.65928996808522,2021-10-05,71.07006985934014,target,212.72221837608507
WMT,long,2021-11-19,45.078592725946194,2021-11-23,45.72934944567186,target,138.36047808366936
WMT,long,2021-12-06,43.176523586088834,2021-12-10,43.95560141865587,target,174.44014845559397
COST,short,2021-09-28,433.9078297015725,2021-09-28,426.80960231117734,target,157.58836841633084
HD,long,2021-08-18,281.97086272919796,2021-08-18,287.47497397165955,target,189.20141865678076
HD,long,2022-01-11,345.8246778605622,2022-01-14,334.3954388924384,stop,-336.49228987447
HD,long,2022-01-19,327.20862331029485,2022-01-20,315.03304031037203,stop,-378.10458809872506
HD,short,2021-09-20,294.48891680119607,2021-09-23,301.22674263870726,stop,-234.7972637713831
DIS,long,2021-11-12,158.5429778005307,2021-11-17,152.58099366072688,stop,-382.0484521304275
DIS,long,2022-01-25,131.17220369000572,2022-01-31,135.50499164682643,target,324.3129653184933
DIS,short,2021-08-16,175.01584656161643,2021-08-16,171.53100183939267,target,193.11595382289372
DIS,short,2022-01-05,151.7560277171953,2022-01-14,147.71295413587814,target,260.4193074987198
NKE,long,2021-09-16,145.31727733851469,2021-09-17,147.96566210793677,target,176.2484440891836
NKE,long,2021-09-21,143.01195946416667,2021-09-23,146.3500711436507,target,227.41486208504404
NKE,long,2022-01-12,140.53460118631006,2022-01-19,134.86368530252705,stop,-409.5245296113898
MCD,long,2022-01-25,226.08421503753343,2022-01-28,229.6483584245284,target,151.6467152473815
MCD,short,2021-09-10,215.4168390911317,2021-09-17,219.07320896060077,stop,-175.73463564388558
MCD,short,2021-09-23,218.48240328168478,2021-09-27,222.78820783571288,stop,-203.07786482358935
CRM,long,2021-11-30,291.15289053276166,2021-11-30,281.1634725422352,stop,-349.0987057091373
CRM,long,2022-01-25,217.2416313805545,2022-01-31,225.50397990461954,target,374.32988757994656
CRM,short,2021-08-19,244.9325507294609,2021-08-20,252.92073522199507,stop,-332.138133487921
CRM,short,2021-08-25,256.42365841247437,2021-08-26,265.2116978885948,stop,-348.7156265739062
ORCL,long,2021-09-16,81.95548037246782,2021-09-20,79.48756138545978,stop,-307.12921988766806
ORCL,long,2021-11-26,87.13730871365921,2021-12-01,84.5848458085487,stop,-298.9242299068613
ORCL,long,2022-01-25,76.57663909873575,2022-02-07,76.02112579345703,time,-78.54344298950777
ORCL,short,2021-12-13,96.09586425904226,2021-12-17,91.64002573587003,target,457.6868149872486
ADBE,long,2021-09-23,632.2899780273438,2021-09-27,612.5825441910248,stop,-317.68347627149484
ADBE,long,2021-12-16,578.4000244140625,2021-12-21,540.5697123806796,stop,-660.0510103142927
ADBE,long,2022-01-25,505.510009765625,2022-01-31,526.0558608323371,target,400.43806590967336
ADBE,short,2021-12-01,676.0,2021-12-01,657.7724902813258,target,263.6377177318676
AVGO,long,2022-01-25,48.7302299459954,2022-01-26,50.94524905007845,target,448.54723003314655
AVGO,short,2021-08-31,45.63658139622331,2021-08-31,44.866855415939,target,162.6642506373215
AVGO,short,2021-09-07,45.30063357575593,2021-09-08,44.52120929884809,target,166.0559328611626
AVGO,short,2021-12-10,57.2223837788103,2021-12-10,58.956053770893874,stop,-308.97059954457194
QCOM,long,2022-01-11,162.21511124792468,2022-01-11,167.5048217327142,target,320.09233776653923
QCOM,long,2022-01-25,150.42852809695017,2022-01-26,157.00103839405102,target,430.9191389591287
QCOM,short,2021-12-14,164.03470564210778,2021-12-16,172.27262779180356,stop,-508.20604947280646
QCOM,short,2022-01-06,167.0402194322819,2022-01-10,161.38225775689926,target,332.7185250721236
MU,long,2021-09-21,71.10698780596297,2021-09-27,73.15220118427465,target,281.62480895585975
MU,long,2022-01-25,79.10264793504332,2022-01-26,82.65105533736967,target,442.5826321819464
MU,short,2021-11-23,83.04158527827478,2021-11-26,80.74267790641242,target,270.83808830944787
INTC,long,2021-09-21,49.00045839424268,2021-09-23,49.9493441103942,target,187.64833457619523
INTC,long,2022-01-25,47.310061987159045,2022-01-26,48.618967398561004,target,270.66533427016526
INTC,long,2022-01-31,44.2216004086862,2022-02-02,45.7632939812961,target,342.62907682261965
INTC,short,2021-12-08,48.75690579181537,2021-12-09,47.37977017808774,target,276.4493456594213
INTC,short,2022-01-06,50.64894261651186,2022-01-07,49.48889620562246,target,223.03664932803935
NFLX,long,2022-01-11,53.69900131225586,2022-01-14,51.24900452278124,stop,-462.246248459643
NFLX,short,2021-09-03,58.58000183105469,2021-09-07,60.306948099699,stop,-300.801334015804
NFLX,short,2021-10-01,60.42399978637695,2021-10-05,62.70339545891945,stop,-383.23349672333484
IWM,long,2021-09-21,205.56941136378188,2021-09-22,209.07877481288625,target,164.71428214064932
IWM,long,2022-01-25,187.63696127597652,2022-01-28,179.7070874788359,stop,-428.61789698658345
IWM,short,2021-11-09,228.08662841560553,2021-11-10,224.71626110864074,target,141.7669835525608
XLF,long,2022-01-25,35.05247069491155,2022-01-25,35.810525679004584,target,210.26292499920208
XLF,short,2021-09-29,35.19845510837596,2021-09-30,34.60963163379921,target,161.28673822864138
XLF,short,2022-01-06,37.49539743853005,2022-01-12,38.43320997297002,stop,-256.11404025718554
AAPL,long,2022-02-25,160.38012393186045,2022-03-03,165.158228565526,target,291.9237399576773
AAPL,long,2022-05-03,154.81031244687898,2022-05-04,159.7359228083964,target,312.17068796418545
MSFT,long,2022-02-25,284.89426986554474,2022-03-08,265.8247027612145,stop,-675.3559373212421
GOOGL,short,2022-02-03,144.42485698358425,2022-02-04,139.8400110052276,target,311.45546259240973
TSLA,long,2022-02-25,269.74334716796875,2022-02-28,289.1404898919403,target,713.0962419507985
TSLA,long,2022-04-29,300.75,2022-05-09,262.672313849041,stop,-1272.090977587996
TSLA,long,2022-05-13,257.82666015625,2022-05-20,215.94572877582976,stop,-1630.3832718865947
SPY,long,2022-02-25,404.22817407311,2022-03-02,413.17694901926416,target,215.37929813214052
SPY,long,2022-04-26,401.9162927984164,2022-05-02,387.05807585419075,stop,-375.68436489032587
QQQ,long,2022-02-25,332.0284500570756,2022-03-08,311.257745005056,stop,-631.5700392074571
QQQ,long,2022-04-26,318.95868479443385,2022-05-02,302.00783849641056,stop,-537.4433218505387
JPM,long,2022-02-25,129.71476157639572,2022-02-25,133.49393137168838,target,285.3446202548742
JPM,long,2022-07-18,104.1678384958555,2022-07-29,104.70333862304688,time,45.40743389934865
BAC,long,2022-02-25,39.147553049021774,2022-02-25,40.372607311998344,target,306.9325251676707
GS,long,2022-02-25,304.440929722423,2022-02-25,313.48891431532485,target,291.2000053064949
GS,short,2022-07-19,274.9621467635024,2022-07-21,292.5462208405966,stop,-645.5089027370182
MS,long,2022-02-22,82.3189914556574,2022-03-01,76.87720798116365,stop,-667.0605132869074
MS,long,2022-06-17,64.72480831103908,2022-06-24,67.09511714887155,target,360.2133422538383
MS,long,2022-07-15,66.5926338371438,2022-07-15,68.68896352063376,target,308.7990344722906
MA,short,2022-04-28,359.7942443731083,2022-05-02,348.65579652440397,target,303.57826654819166
XOM,long,2022-04-26,71.60303702354172,2022-04-27,73.88406315649803,target,312.5655564031942
XOM,short,2022-06-01,84.83119798488539,2022-06-07,89.9292479149585,stop,-606.9640381338754
CVX,long,2022-04-26,134.0138435985442,2022-05-04,139.20328523794524,target,381.2317590521956
CVX,short,2022-06-01,150.3532995700971,2022-06-13,145.84945180300969,target,293.5509762649173
COP,long,2022-04-29,83.80489733743546,2022-05-04,87.23311513162021,target,403.0712957240705
COP,short,2022-03-09,81.51226491668024,2022-03-21,87.9846522529158,stop,-800.038460696862
COP,short,2022-05-06,89.30901355958932,2022-05-09,85.73423041582993,target,394.27126056814024
COP,short,2022-06-01,98.48551235352915,2022-06-08,106.05611783798881,stop,-774.7024521214636
